name,position
JOSAIA VOREQE BAINIMARAMA,Prime Minister
JOSAIA VOREQE BAINIMARAMA,"Minister for iTaukei Affairs, Sugar Industry and Foreign Affairs"
AIYAZ SAYED KHAIYUM,Attorney General
AIYAZ SAYED KHAIYUM,"Minister for Economy, Civil Service and Communications"
INIA SERUIRATU,"Minister for Rural, Maritime Development and Disaster Management"
INIA SERUIRATU,"Minister for Defence, National Security and Policing"
PARVEEN BALA,"Minister for Employment, Productivity, Industrial Relations, Youth and Sports"
JONE USAMATE,Minister for Infrastructure and Meteorological Services
JONE USAMATE,Minister for Lands and Mineral Resources
ROSY AJBAR,"Minister for Education, Heritage and Arts"
MAHENDRA REDDY,"Minister for Agriculture, Waterways and Environment"
MERESEINI VUNIWAQA,"Minister for Women, Children and Poverty Alleviation"
OSEA NAIQAMU,Minister for Forestry
SEMI KOROILAVESAU,Minister for Fisheries
PREMILA KUMAR,"Minister for Local Government, Housing and Community Development"
IFEREIMI WAQAINABETE,Minister for Health and Medical Services
Faiyaz Koya,"Minister for Commerce, Trade, Tourism & Transport"
